seed,day,mobmat_diag_share,realized_diag_share,diag_diff,mean_l1_row_distance,max_abs_entry_diff
0,0,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
0,25,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
0,50,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
0,75,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
0,99,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
1,0,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
1,25,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
1,50,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
1,75,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
1,99,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
2,0,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
2,25,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
2,50,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
2,75,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
2,99,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
3,0,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
3,25,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
3,50,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
3,75,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
3,99,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
4,0,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
4,25,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
4,50,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
4,75,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
4,99,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
5,0,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
5,25,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
5,50,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
5,75,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
5,99,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
6,0,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
6,25,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
6,50,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
6,75,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
6,99,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
7,0,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
7,25,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
7,50,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
7,75,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
7,99,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
8,0,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
8,25,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
8,50,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
8,75,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
8,99,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
9,0,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
9,25,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
9,50,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
9,75,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
9,99,0.3116319194823868,0.3130697340043134,0.0014378145219266503,0.0032165711656157434,0.04545454545454547
